0.161 0.146  -0.284 0.204
0.331 0.054  -0.373 0.347
0.259 -0.276  -0.703 0.215
0.495 -0.078  -0.503 0.457
0.126 -0.152  -0.580 0.161
0.502 0.054  -0.342 0.528
0.324 -0.037  -0.466 0.318
0.233 0.098  -0.302 0.273
0.422 -0.091  -0.512 0.396
0.431 -0.235  -0.638 0.344
0.497 -0.078  -0.477 0.456
0.325 0.087  -0.321 0.351
0.331 0.158  -0.247 0.397
0.426 -0.184  -0.586 0.367
0.064 0.071  -0.380 0.140
0.407 -0.183  -0.589 0.328
0.497 0.046  -0.365 0.488
0.595 0.058  -0.356 0.612
0.592 -0.176  -0.592 0.488
0.282 -0.078  -0.491 0.275
0.614 0.100  -0.290 0.660
0.402 -0.097  -0.515 0.364
0.540 -0.003  -0.402 0.518
0.594 -0.034  -0.433 0.568
0.103 -0.235  -0.676 0.124
0.138 -0.235  -0.669 0.153
0.652 -0.040  -0.479 0.617
0.373 -0.204  -0.626 0.287
0.402 0.101  -0.296 0.419
0.276 -0.181  -0.606 0.233
0.565 0.097  -0.291 0.600
0.488 -0.072  -0.479 0.439
0.311 0.071  -0.341 0.331
0.074 -0.153  -0.606 0.114
0.465 -0.072  -0.476 0.428
0.451 -0.153  -0.555 0.383
0.141 0.104  -0.321 0.199
0.048 0.100  -0.347 0.109
0.308 -0.064  -0.506 0.287
0.364 -0.195  -0.617 0.290
0.310 0.164  -0.261 0.341
0.511 -0.184  -0.598 0.407
0.468 -0.163  -0.591 0.388
0.061 -0.193  -0.630 0.107
0.414 -0.080  -0.508 0.374
0.377 0.100  -0.285 0.388
0.092 -0.081  -0.515 0.143
0.302 -0.052  -0.483 0.295
0.635 0.091  -0.302 0.669
0.063 -0.267  -0.701 0.101
0.052 -0.193  -0.635 0.101
0.525 -0.163  -0.583 0.434
0.370 0.044  -0.354 0.377
0.624 -0.115  -0.552 0.529
0.545 0.132  -0.262 0.580
0.373 0.015  -0.397 0.376
0.555 -0.038  -0.449 0.528
0.422 0.132  -0.261 0.437
0.360 -0.100  -0.512 0.327
0.469 0.003  -0.414 0.463
0.261 0.055  -0.357 0.288
0.086 -0.195  -0.635 0.130
0.534 -0.193  -0.615 0.439
0.360 -0.080  -0.499 0.325
0.382 0.130  -0.282 0.400
0.250 -0.103  -0.540 0.229
0.048 0.087  -0.387 0.124
0.565 -0.025  -0.431 0.529
0.206 -0.184  -0.600 0.189
0.307 -0.071  -0.492 0.298
0.161 -0.153  -0.584 0.170
0.607 0.129  -0.261 0.643
0.172 0.106  -0.318 0.204
0.494 -0.224  -0.647 0.385
0.207 -0.120  -0.551 0.201
0.607 -0.078  -0.512 0.558
0.509 -0.114  -0.529 0.446
0.502 0.034  -0.393 0.485
0.509 0.057  -0.337 0.522
0.034 0.114  -0.334 0.109
0.607 -0.071  -0.492 0.545
0.489 0.043  -0.362 0.477
0.221 -0.181  -0.621 0.196
0.383 -0.150  -0.561 0.345
0.495 0.005  -0.413 0.479
0.448 -0.235  -0.644 0.350
0.548 -0.037  -0.437 0.512
0.296 0.069  -0.341 0.301
0.604 -0.252  -0.681 0.456
0.351 0.046  -0.367 0.351
0.394 -0.146  -0.555 0.345
0.216 -0.241  -0.660 0.195
0.210 0.103  -0.314 0.265
0.337 -0.066  -0.491 0.311
0.347 -0.278  -0.676 0.258
0.632 -0.161  -0.591 0.525
0.282 0.014  -0.396 0.302
0.434 -0.078  -0.500 0.377
0.594 -0.038  -0.471 0.549
0.270 0.164  -0.258 0.322
0.249 -0.048  -0.468 0.258
0.081 0.133  -0.304 0.146
0.405 -0.109  -0.543 0.342
0.549 0.049  -0.339 0.574
0.141 0.057  -0.396 0.175
0.531 0.109  -0.301 0.545
0.446 -0.071  -0.499 0.402
0.471 -0.081  -0.494 0.440
0.541 -0.245  -0.667 0.400
0.411 -0.193  -0.614 0.321
0.635 -0.201  -0.630 0.514
0.178 -0.233  -0.643 0.164
0.690 -0.041  -0.482 0.627
0.055 -0.115  -0.561 0.112
0.048 0.049  -0.408 0.106
0.604 -0.225  -0.653 0.459
0.494 -0.278  -0.690 0.362
0.506 0.132  -0.259 0.546
0.502 0.091  -0.321 0.520
0.311 -0.114  -0.532 0.588
0.453 -0.222  -0.629 0.354
0.221 0.071  -0.353 0.261
0.118 -0.121  -0.551 0.158
0.133 -0.037  -0.499 0.156
0.410 0.005  -0.423 0.400
0.402 -0.120  -0.520 0.344
0.537 -0.037  -0.462 0.495
0.380 -0.080  -0.500 0.347
0.296 0.054  -0.357 0.305
0.603 -0.106  -0.512 0.534
0.538 0.043  -0.348 0.534
0.064 -0.265  -0.701 0.103
0.408 -0.080  -0.503 0.360
0.492 0.104  -0.299 0.517
0.359 0.095  -0.302 0.374
0.630 -0.235  -0.673 0.460
0.060 -0.161  -0.604 0.117
0.641 0.051  -0.345 0.658
0.141 -0.008  -0.428 0.187
0.446 -0.035  -0.459 0.420
0.583 -0.155  -0.566 0.491
0.141 0.103  -0.313 0.183
0.483 -0.224  -0.635 0.379
0.155 0.005  -0.425 0.183
0.457 0.006  -0.420 0.453
0.348 0.072  -0.334 0.357
0.630 -0.023  -0.445 0.603
0.621 0.009  -0.408 0.591
0.508 0.054  -0.339 0.531
0.531 -0.112  -0.531 0.471
0.620 -0.078  -0.511 0.563
0.420 0.083  -0.324 0.428
0.411 -0.184  -0.586 0.345
0.141 0.164  -0.256 0.210
0.357 -0.084  -0.512 0.318
0.505 -0.163  -0.592 0.417
0.551 0.091  -0.299 0.578
0.581 0.137  -0.258 0.611
0.291 -0.225  -0.653 0.233
0.529 0.144  -0.247 0.566
0.250 -0.066  -0.503 0.239
0.272 -0.161  -0.575 0.253
0.681 -0.201  -0.643 0.549
0.420 0.135  -0.255 0.446
0.063 -0.018  -0.457 0.123
0.465 0.012  -0.390 0.471
0.161 -0.034  -0.485 0.190
0.472 0.054  -0.344 0.476
0.221 0.140  -0.284 0.272
0.457 -0.020  -0.419 0.454
0.160 0.015  -0.411 0.189
0.540 -0.120  -0.549 0.471
0.591 -0.193  -0.607 0.483
0.594 -0.224  -0.641 0.463
0.594 0.006  -0.416 0.575
0.554 -0.305  -0.716 0.383
0.420 0.055  -0.350 0.416
0.502 -0.137  -0.543 0.434
0.540 0.055  -0.344 0.549
0.178 -0.143  -0.575 0.181
0.652 0.006  -0.403 0.630
0.336 -0.282  -0.707 0.239
0.580 -0.193  -0.606 0.465
0.495 -0.078  -0.515 0.440
0.100 -0.193  -0.640 0.133
0.451 -0.160  -0.589 0.382
0.531 -0.193  -0.597 0.434
0.176 0.164  -0.268 0.236
0.370 -0.017  -0.420 0.354
0.664 -0.077  -0.508 0.594
0.287 -0.060  -0.494 0.273
0.318 -0.238  -0.643 0.256
0.591 -0.112  -0.523 0.528
0.594 0.072  -0.325 0.617
0.143 -0.256  -0.669 0.158
0.689 -0.276  -0.712 0.482
0.503 0.092  -0.293 0.535
0.092 -0.064  -0.509 0.129
0.468 0.043  -0.393 0.459
0.518 -0.265  -0.687 0.383
0.453 -0.163  -0.594 0.368
0.144 -0.120  -0.554 0.156
0.620 0.006  -0.408 0.620
0.103 -0.081  -0.531 0.141
0.293 0.103  -0.308 0.327
0.407 -0.181  -0.589 0.336
0.170 0.167  -0.250 0.227
0.336 -0.193  -0.621 0.565
0.031 -0.120  -0.561 0.098
0.224 -0.035  -0.460 0.249
0.290 -0.114  -0.528 0.272
0.684 0.006  -0.407 0.686
0.319 -0.034  -0.446 0.299
0.569 -0.193  -0.624 0.454
0.373 -0.038  -0.449 0.350
0.426 -0.123  -0.549 0.367
0.063 0.167  -0.288 0.127
0.209 -0.028  -0.460 0.218
0.614 0.124  -0.261 0.678
0.284 0.048  -0.359 0.304
0.293 -0.067  -0.495 0.278
0.565 0.117  -0.273 0.600
0.267 -0.201  -0.609 0.239
0.407 0.025  -0.385 0.416
0.129 -0.232  -0.667 0.135
0.190 -0.193  -0.623 0.190
0.640 -0.192  -0.617 0.511
0.589 0.091  -0.288 0.623
0.245 0.083  -0.333 0.288
0.592 -0.153  -0.574 0.489
0.319 -0.075  -0.500 0.305
0.491 0.041  -0.367 0.485
0.044 -0.023  -0.476 0.097
0.293 -0.023  -0.434 0.301
0.624 -0.233  -0.655 0.483
0.715 -0.035  -0.483 0.661
0.511 -0.144  -0.549 0.446
0.577 0.097  -0.314 0.606
0.673 -0.275  -0.719 0.474
0.092 0.046  -0.396 0.153
0.643 -0.035  -0.466 0.591
0.551 -0.276  -0.703 0.399
0.221 -0.120  -0.534 0.229
0.528 0.006  -0.410 0.520
0.581 0.029  -0.377 0.581
0.497 0.055  -0.339 0.511
0.141 0.144  -0.288 0.195
0.245 -0.023  -0.463 0.249
0.167 0.167  -0.275 0.213
0.089 0.104  -0.337 0.152
0.046 0.103  -0.339 0.124
0.173 -0.021  -0.465 0.207
0.087 -0.233  -0.673 0.127
0.661 0.043  -0.387 0.672
0.537 0.135  -0.259 0.572
0.325 -0.224  -0.657 0.255
0.500 0.166  -0.249 0.528
0.301 0.095  -0.308 0.331
0.511 -0.101  -0.522 0.451
0.359 -0.193  -0.620 0.288
0.581 0.054  -0.341 0.606
0.298 -0.181  -0.595 0.584
0.551 0.009  -0.420 0.540
0.313 0.048  -0.390 0.344
0.591 -0.006  -0.416 0.569
0.457 0.098  -0.299 0.479
0.538 -0.152  -0.560 0.459
0.310 0.135  -0.262 0.370
0.310 0.017  -0.413 0.318
0.422 0.008  -0.422 0.397
0.012 0.094  -0.364 0.097
0.175 -0.224  -0.635 0.176
0.641 0.051  -0.342 0.673
0.453 0.124  -0.281 0.469
0.632 0.107  -0.281 0.687
0.540 -0.184  -0.595 0.434
0.049 0.069  -0.385 0.114
0.494 -0.146  -0.561 0.422
0.299 0.083  -0.334 0.341
0.647 0.058  -0.350 0.640
0.146 -0.184  -0.614 0.156
0.571 0.006  -0.405 0.575
0.615 -0.284  -0.709 0.436
0.365 -0.077  -0.494 0.336
0.459 0.054  -0.354 0.469
0.535 -0.216  -0.629 0.414
0.690 0.005  -0.442 0.657
0.272 -0.318  -0.716 0.483
0.443 -0.278  -0.684 0.334
0.571 0.091  -0.313 0.597
0.396 -0.146  -0.548 0.334
0.479 0.060  -0.344 0.489
0.580 -0.161  -0.575 0.491
0.588 0.046  -0.353 0.592
0.410 0.012  -0.423 0.391
0.592 -0.161  -0.595 0.488
0.310 -0.037  -0.454 0.644
0.112 -0.025  -0.465 0.163
0.307 -0.117  -0.537 0.614
0.624 -0.087  -0.522 0.555
0.635 -0.201  -0.632 0.506
0.023 0.123  -0.339 0.110
0.525 0.025  -0.374 0.517
0.044 -0.114  -0.580 0.100
0.400 -0.152  -0.558 0.336
0.459 0.057  -0.341 0.472
0.468 -0.146  -0.574 0.390
0.456 -0.288  -0.701 0.310
0.342 -0.276  -0.690 0.247
0.071 0.166  -0.304 0.140
0.572 -0.265  -0.687 0.419
0.529 -0.140  -0.565 0.453
0.301 -0.110  -0.518 0.288
0.676 0.044  -0.391 0.663
0.179 0.015  -0.430 0.212
0.052 0.094  -0.350 0.115
0.643 -0.236  -0.664 0.499
0.407 -0.077  -0.499 0.377
0.581 -0.072  -0.485 0.534
0.112 -0.236  -0.655 0.121
0.169 0.055  -0.365 0.213
0.548 -0.284  -0.706 0.376
0.459 0.005  -0.422 0.446
0.594 -0.121  -0.551 0.514
0.416 -0.233  -0.646 0.314
0.426 0.008  -0.408 0.423
0.664 0.127  -0.253 0.724
0.209 -0.114  -0.538 0.204
0.523 -0.276  -0.693 0.360
0.138 0.166  -0.272 0.196
0.446 0.114  -0.272 0.474
0.672 -0.026  -0.434 0.646
0.253 0.100  -0.336 0.272
0.577 0.098  -0.282 0.620
0.141 0.055  -0.407 0.170
0.296 0.089  -0.333 0.330
0.529 -0.025  -0.437 0.488
0.545 -0.034  -0.428 0.529
0.295 0.081  -0.345 0.301
0.141 0.057  -0.387 0.187
0.064 0.097  -0.373 0.123
0.657 -0.120  -0.545 0.569
0.653 0.044  -0.347 0.653
0.380 0.124  -0.275 0.426
0.430 -0.184  -0.597 0.348
0.676 0.081  -0.337 0.706
0.581 0.098  -0.296 0.614
0.667 -0.305  -0.724 0.453
0.607 -0.233  -0.658 0.468
0.554 0.084  -0.334 0.575
0.379 -0.172  -0.581 0.301
0.261 0.166  -0.272 0.302
0.652 -0.135  -0.563 0.568
0.221 0.164  -0.272 0.252
0.448 0.038  -0.380 0.425
0.061 0.098  -0.368 0.114
0.414 -0.067  -0.502 0.364
0.626 -0.121  -0.551 0.546
0.632 -0.035  -0.460 0.606
0.624 -0.201  -0.632 0.491
0.272 -0.035  -0.479 0.275
0.216 -0.235  -0.664 0.179
0.215 -0.037  -0.489 0.233
0.600 -0.080  -0.512 0.525
0.267 -0.153  -0.586 0.236
0.601 -0.152  -0.568 0.499
0.135 -0.153  -0.595 0.153
0.545 -0.078  -0.491 0.506
0.173 -0.081  -0.528 0.179
0.041 -0.035  -0.499 0.100
0.179 0.005  -0.437 0.227
0.641 0.008  -0.426 0.632
0.664 0.008  -0.420 0.663
0.591 0.008  -0.387 0.611
0.239 -0.078  -0.500 0.245
0.509 -0.074  -0.479 0.483
0.614 -0.202  -0.638 0.479
0.218 -0.078  -0.512 0.239
0.222 -0.193  -0.607 0.206
0.084 -0.028  -0.463 0.155
0.368 -0.233  -0.655 0.281
0.327 0.003  -0.417 0.328
0.491 0.006  -0.414 0.491
0.502 0.008  -0.407 0.491
0.499 0.052  -0.342 0.518
0.368 -0.181  -0.600 0.314
0.066 0.069  -0.380 0.135
0.657 -0.170  -0.612 0.540
0.173 -0.034  -0.471 0.216
0.135 0.051  -0.377 0.198
0.443 -0.307  -0.719 0.302
0.577 0.091  -0.319 0.589
0.299 0.143  -0.262 0.337
0.270 -0.282  -0.686 0.210
0.193 0.046  -0.402 0.236
0.313 0.012  -0.402 0.327
0.353 0.104  -0.302 0.376
0.216 0.057  -0.383 0.241
0.261 -0.067  -0.486 0.273
0.494 -0.202  -0.629 0.400
0.215 0.054  -0.373 0.241
0.643 -0.195  -0.638 0.508
0.321 -0.118  -0.526 0.319
0.650 -0.278  -0.707 0.472
0.588 -0.193  -0.624 0.474
0.621 -0.120  -0.549 0.526
0.433 -0.183  -0.592 0.357
0.066 -0.202  -0.641 0.126
0.644 0.100  -0.330 0.684
0.175 0.037  -0.393 0.218
0.529 -0.155  -0.589 0.456
0.537 -0.037  -0.449 0.505
0.388 -0.235  -0.649 0.318
0.577 0.051  -0.359 0.583
0.374 -0.267  -0.684 0.273
0.632 -0.120  -0.537 0.572
0.426 -0.193  -0.620 0.353
0.126 0.166  -0.284 0.189
0.249 0.109  -0.304 0.298
0.520 0.014  -0.397 0.512
0.640 0.100  -0.293 0.692
0.448 0.054  -0.347 0.446
0.509 0.091  -0.333 0.537
0.468 -0.186  -0.609 0.391
0.376 0.006  -0.399 0.385
0.595 0.043  -0.368 0.589
0.124 0.155  -0.270 0.173
0.643 0.110  -0.290 0.673
0.100 -0.077  -0.500 0.127
0.272 -0.041  -0.446 0.259
0.357 -0.032  -0.434 0.321
0.229 0.130  -0.275 0.259
0.681 0.043  -0.351 0.683
0.232 -0.071  -0.505 0.222
0.405 0.126  -0.258 0.423
0.259 0.123  -0.278 0.287
0.083 -0.118  -0.543 0.121
0.215 -0.163  -0.584 0.201
0.572 -0.202  -0.607 0.454
0.250 -0.114  -0.526 0.230
0.523 -0.112  -0.511 0.453
0.543 -0.163  -0.597 0.422
0.304 0.044  -0.387 0.310
0.216 0.083  -0.351 0.222
0.342 -0.101  -0.514 0.295
0.241 0.075  -0.359 0.252
0.529 0.133  -0.256 0.535
0.538 0.083  -0.304 0.538
0.359 -0.192  -0.595 0.279
0.518 0.046  -0.377 0.512
0.104 0.123  -0.322 0.147
0.094 0.055  -0.382 0.138
0.210 -0.008  -0.426 0.222
0.364 -0.164  -0.574 0.287
0.052 0.124  -0.324 0.107
0.563 -0.278  -0.681 0.394
0.256 0.123  -0.305 0.276
0.680 -0.164  -0.586 0.526
0.511 0.044  -0.344 0.512
0.272 -0.172  -0.597 0.232
0.545 -0.121  -0.543 0.442
0.592 0.124  -0.275 0.597
0.491 -0.031  -0.443 0.437
0.264 0.043  -0.374 0.281
0.261 0.003  -0.423 0.261
0.537 -0.201  -0.626 0.405
0.249 -0.150  -0.563 0.210
0.152 0.044  -0.408 0.176
0.175 -0.072  -0.506 0.176
0.399 -0.201  -0.614 0.298
0.434 0.083  -0.318 0.431
0.508 0.123  -0.259 0.523
0.064 0.123  -0.328 0.124
0.287 0.083  -0.339 0.296
0.364 -0.245  -0.666 0.255
0.288 -0.164  -0.568 0.250
0.084 0.141  -0.288 0.141
0.282 0.083  -0.322 0.293
0.164 -0.164  -0.588 0.152
0.261 -0.120  -0.523 0.238
0.480 0.005  -0.417 0.440
0.179 -0.158  -0.584 0.169
0.483 0.061  -0.331 0.459
0.255 0.126  -0.290 0.295
0.445 -0.305  -0.704 0.296
0.327 -0.028  -0.448 0.295
0.468 -0.144  -0.551 0.385
0.112 -0.153  -0.589 0.124
0.520 -0.235  -0.655 0.382
0.626 -0.275  -0.689 0.446
0.189 0.164  -0.258 0.235
0.341 -0.127  -0.551 0.290
0.376 -0.285  -0.704 0.250
0.499 -0.163  -0.591 0.399
0.221 -0.285  -0.703 0.181
0.650 -0.282  -0.709 0.459
0.414 -0.072  -0.497 0.370
0.374 -0.265  -0.692 0.265
0.104 -0.273  -0.701 0.110
0.295 -0.275  -0.681 0.225
0.170 0.166  -0.279 0.198
0.522 0.133  -0.272 0.535
0.534 0.124  -0.273 0.529
0.232 0.097  -0.316 0.256
0.482 -0.026  -0.420 0.451
0.543 0.052  -0.371 0.523
0.086 0.133  -0.316 0.141
0.321 -0.123  -0.549 0.285
0.423 0.048  -0.373 0.396
0.339 -0.164  -0.609 0.578
0.469 -0.121  -0.522 0.399
0.138 0.041  -0.397 0.164
0.611 -0.110  -0.540 0.523
0.502 -0.275  -0.681 0.342
0.502 0.124  -0.262 0.517
0.261 -0.305  -0.706 0.201
0.491 0.052  -0.356 0.483
0.106 0.063  -0.367 0.147
0.169 -0.155  -0.589 0.176
0.360 -0.152  -0.560 0.295
0.408 0.038  -0.376 0.387
0.235 -0.141  -0.566 0.202
0.603 0.005  -0.417 0.566
0.583 -0.265  -0.680 0.419
0.460 0.041  -0.360 0.440
0.299 0.071  -0.331 0.311
0.086 -0.236  -0.669 0.109
0.129 -0.316  -0.730 0.123
0.250 0.014  -0.396 0.264
0.278 -0.236  -0.655 0.222
0.391 -0.244  -0.672 0.270
0.295 -0.244  -0.672 0.227
0.634 0.052  -0.373 0.629
0.186 0.017  -0.399 0.202
0.250 -0.196  -0.626 0.202
0.422 0.003  -0.413 0.397
0.509 -0.184  -0.586 0.402
0.110 0.086  -0.345 0.161
0.552 0.118  -0.282 0.568
0.551 0.017  -0.416 0.520
0.235 -0.066  -0.506 0.222
0.561 0.015  -0.391 0.529
0.181 -0.002  -0.431 0.192
0.479 -0.029  -0.463 0.433
0.094 -0.066  -0.502 0.121
0.561 0.133  -0.247 0.581
0.540 -0.186  -0.617 0.414
0.268 -0.316  -0.718 0.204
0.505 0.060  -0.331 0.520
0.313 0.132  -0.293 0.350
0.598 -0.064  -0.469 0.548
0.307 0.132  -0.259 0.687
0.158 -0.275  -0.698 0.149
0.250 0.012  -0.411 0.270
0.486 -0.026  -0.425 0.460
0.374 -0.307  -0.712 0.247
0.428 -0.118  -0.532 0.368
0.373 -0.077  -0.497 0.336
0.328 0.067  -0.331 0.345
0.098 -0.144  -0.584 0.123
0.172 -0.233  -0.647 0.152
0.454 -0.193  -0.612 0.365
0.517 0.011  -0.388 0.506
0.126 -0.195  -0.621 0.138
0.482 -0.035  -0.449 0.440
0.416 -0.029  -0.428 0.376
0.552 -0.186  -0.598 0.439
0.107 -0.247  -0.681 0.121
0.641 0.049  -0.353 0.647
0.221 0.095  -0.318 0.247
0.643 -0.064  -0.479 0.583
0.342 0.132  -0.272 0.348
0.173 -0.026  -0.466 0.176
0.540 0.133  -0.259 0.565
0.469 -0.144  -0.551 0.383
0.652 -0.244  -0.683 0.463
0.383 -0.233  -0.640 0.275
0.503 0.124  -0.275 0.525
0.543 0.057  -0.364 0.529
0.540 -0.265  -0.670 0.382
0.592 0.008  -0.393 0.561
0.472 0.015  -0.385 0.451
0.061 -0.064  -0.525 0.103
0.571 -0.267  -0.693 0.402
0.592 0.071  -0.359 0.594
0.664 -0.193  -0.623 0.525
0.143 0.135  -0.288 0.192
0.341 0.104  -0.288 0.345
0.155 0.132  -0.282 0.204
0.206 0.063  -0.347 0.227
0.356 0.067  -0.324 0.376
0.629 0.133  -0.282 0.657
0.471 -0.316  -0.721 0.304
0.666 0.008  -0.422 0.627
0.565 -0.067  -0.480 0.508
0.064 -0.147  -0.586 0.109
0.440 -0.244  -0.669 0.314
0.262 -0.275  -0.680 0.196
0.333 -0.078  -0.505 0.284
0.318 -0.114  -0.528 0.285
0.150 0.164  -0.288 0.176
0.535 0.002  -0.399 0.509
0.417 0.071  -0.325 0.419
0.107 0.097  -0.348 0.153
0.189 0.172  -0.250 0.222
0.571 0.097  -0.293 0.600
0.149 0.067  -0.356 0.187
0.649 0.055  -0.357 0.650
0.187 -0.307  -0.724 0.152
0.571 0.005  -0.397 0.549
0.540 0.017  -0.376 0.515
0.666 -0.265  -0.689 0.466
0.184 0.005  -0.433 0.189
0.534 -0.117  -0.540 0.456
0.538 0.123  -0.267 0.566
0.252 0.097  -0.325 0.264
0.515 -0.069  -0.495 0.445
0.262 -0.146  -0.574 0.219
0.293 0.086  -0.318 0.308
0.509 -0.235  -0.640 0.387
0.626 -0.130  -0.558 0.520
0.127 0.126  -0.313 0.166
0.273 0.061  -0.373 0.275
0.077 0.094  -0.360 0.124
0.446 -0.183  -0.604 0.337
0.316 -0.117  -0.523 0.584
0.581 0.011  -0.383 0.549
0.641 -0.028  -0.466 0.572
0.595 -0.107  -0.514 0.512
0.310 0.035  -0.377 0.311
0.469 -0.026  -0.439 0.440
0.443 0.000  -0.422 0.422
0.262 -0.026  -0.457 0.258
0.641 -0.028  -0.439 0.617
0.623 0.133  -0.282 0.641
0.583 0.133  -0.279 0.615
0.551 -0.155  -0.589 0.448
0.460 -0.075  -0.503 0.396
0.229 0.101  -0.318 0.261
0.376 -0.144  -0.575 0.313
0.161 0.006  -0.416 0.178
0.225 0.095  -0.337 0.255
0.403 -0.107  -0.537 0.351
0.405 0.092  -0.308 0.408
0.600 -0.265  -0.692 0.419
0.581 -0.153  -0.568 0.474
0.232 -0.037  -0.477 0.219
0.532 0.083  -0.314 0.538
0.664 -0.025  -0.423 0.609
0.540 -0.236  -0.657 0.374
0.413 -0.233  -0.650 0.305
0.186 -0.120  -0.549 0.178
0.632 0.005  -0.393 0.615
0.664 -0.236  -0.675 0.465
0.499 0.126  -0.287 0.509
0.632 -0.233  -0.657 0.457
0.230 0.137  -0.268 0.276
0.190 -0.133  -0.551 0.183
0.313 -0.273  -0.675 0.219
0.561 -0.276  -0.699 0.396
0.367 0.060  -0.337 0.376
0.495 -0.265  -0.670 0.357
0.612 -0.242  -0.670 0.448
0.626 -0.074  -0.511 0.549
0.172 -0.061  -0.497 0.173
0.643 0.123  -0.270 0.692
0.221 -0.054  -0.477 0.209
0.643 -0.196  -0.638 0.483
0.104 -0.235  -0.667 0.120
0.522 0.005  -0.411 0.488
0.653 -0.069  -0.512 0.568
0.624 0.014  -0.407 0.588
0.337 -0.308  -0.715 0.235
0.221 0.005  -0.414 0.229
0.634 0.002  -0.403 0.614
0.206 0.017  -0.410 0.213
0.673 -0.078  -0.497 0.586
0.373 0.002  -0.430 0.344
0.456 -0.103  -0.517 0.379
0.239 0.066  -0.341 0.255
0.328 0.067  -0.333 0.336
0.673 -0.193  -0.621 0.525
0.054 0.166  -0.298 0.112
0.314 -0.064  -0.486 0.291
0.225 -0.054  -0.482 0.221
0.173 -0.152  -0.586 0.164
0.471 -0.273  -0.678 0.327
0.416 0.069  -0.334 0.414
0.623 0.015  -0.399 0.584
0.673 -0.117  -0.548 0.572
0.328 -0.040  -0.457 0.626
0.106 0.095  -0.354 0.155
0.382 -0.143  -0.554 0.316
0.207 -0.284  -0.701 0.164
0.235 -0.183  -0.598 0.213
0.485 -0.316  -0.716 0.316
0.051 0.008  -0.442 0.098
0.351 -0.066  -0.503 0.307
0.126 0.133  -0.313 0.164
0.592 0.097  -0.291 0.592
0.181 -0.152  -0.574 0.169
0.222 -0.061  -0.482 0.225
0.357 -0.186  -0.604 0.268
0.114 0.011  -0.433 0.147
0.046 0.018  -0.419 0.109
0.649 0.057  -0.337 0.655
0.104 -0.193  -0.629 0.130
0.486 0.040  -0.383 0.460
0.382 -0.133  -0.561 0.298
0.551 -0.074  -0.499 0.472
0.502 -0.298  -0.701 0.337
0.540 0.126  -0.287 0.560
0.632 0.060  -0.350 0.611
0.417 -0.186  -0.598 0.327
0.337 -0.316  -0.713 0.229
0.540 -0.038  -0.471 0.488
0.529 0.054  -0.336 0.511
0.675 -0.123  -0.548 0.569
0.426 0.012  -0.396 0.388
0.301 0.035  -0.396 0.307
0.595 0.109  -0.302 0.592
0.227 -0.181  -0.607 0.198
0.552 0.126  -0.290 0.558
0.463 -0.316  -0.727 0.291
0.222 -0.275  -0.692 0.175
0.195 0.029  -0.400 0.209
0.472 -0.072  -0.476 0.411
